,module_colors
shroom1,turquoise
shroom2a,grey
shroom2b,grey
shroom3,blue
shroom4,blue
shrprbck1r,blue
shtn2,blue
shtn3,blue
si,grey
si:busm1-163l24.3,blue
si:cabz01090165.1,grey
si:ch1073-143l10.2,blue
si:ch1073-15f19.2,blue
si:ch1073-459j12.1,turquoise
si:ch1073-513e17.1,blue
si:ch211-102c2.8,blue
si:ch211-106k21.5,blue
si:ch211-114m9.1,blue
si:ch211-11n16.2,turquoise
si:ch211-120g10.1,blue
si:ch211-132f19.7,grey
si:ch211-132g1.1,blue
si:ch211-136a13.1,blue
si:ch211-137a8.2,turquoise
si:ch211-141o9.10,turquoise
si:ch211-149e23.4,turquoise
si:ch211-14a17.10,turquoise
si:ch211-14k19.8,turquoise
si:ch211-156l18.8,brown
si:ch211-159i8.4,blue
si:ch211-168f7.5,turquoise
si:ch211-183d21.3,turquoise
si:ch211-186j3.6,grey
si:ch211-194b1.1,blue
si:ch211-195m9.3,brown
si:ch211-196i2.1,brown
si:ch211-198m17.1,turquoise
si:ch211-212d10.2,turquoise
si:ch211-214p13.7,blue
si:ch211-217a12.1,green
si:ch211-230g15.5,blue
si:ch211-261d7.6,turquoise
si:ch211-266g18.10,turquoise
si:ch211-266o15.1,turquoise
si:ch211-284e13.4,brown
si:ch211-286o17.1,blue
si:ch211-39i22.1,blue
si:ch211-63p21.2,grey
si:ch211-67e16.4,turquoise
si:ch211-69b7.6,turquoise
si:ch211-81a5.8,blue
si:ch73-109d9.2,turquoise
si:ch73-212j7.1,turquoise
si:ch73-217b7.1,turquoise
si:ch73-361p23.3,blue
si:ch73-40i7.5,turquoise
si:ch73-43g23.1,brown
si:ch73-52e5.2,turquoise
si:ch73-71d17.2,turquoise
si:ch73-95l15.5,turquoise
si:dkey-106l3.7,turquoise
si:dkey-109j17.5,blue
si:dkey-14d8.1,blue
si:dkey-150i13.2,grey
si:dkey-154b15.1,blue
si:dkey-159a18.1,turquoise
si:dkey-16j16.4,turquoise
si:dkey-171c9.3,blue
si:dkey-172o19.2,brown
si:dkey-181m9.8,turquoise
si:dkey-190g6.2,grey
si:dkey-19b23.7,blue
si:dkey-1h24.6,blue
si:dkey-206d17.12,turquoise
si:dkey-215k6.1,green
si:dkey-229b18.3,turquoise
si:dkey-22n8.3,blue
si:dkey-22o22.2,turquoise
si:dkey-230p4.1,turquoise
si:dkey-246g23.2,turquoise
si:dkey-246i14.3,brown
si:dkey-24p1.1,blue
si:dkey-260j18.2,turquoise
si:dkey-261l7.2,grey
si:dkey-28b4.8,blue
si:dkey-28e7.3,blue
si:dkey-33c12.4,turquoise
si:dkey-34d22.1,blue
si:dkey-38p12.3,grey
si:dkey-49n23.1,blue
si:dkey-91i10.2,blue
si:dkey-92j12.5,brown
si:dkeyp-14d3.1,grey
si:dkeyp-38g8.5,turquoise
si:dkeyp-68b7.12,blue
si:dkeyp-84f3.9,blue
si:rp71-1g18.1,grey
si:rp71-68n21.9,blue
si:zfos-2326c3.2,blue
siae,turquoise
siah1,turquoise
siah2l_ChrAur1,grey
sidt2,brown
sigirr,turquoise
siglec15l,blue
sigmar1,turquoise
sik1,turquoise
sik2b,grey
sik3,blue
sike1,turquoise
sil1,turquoise
sim1a,grey
simc1,turquoise
sin3aa,turquoise
sin3ab,green
sin3b,blue
sinhcaf_ChrAur1,turquoise
sinhcaf_ChrAur2,yellow
sinhcafl,turquoise
sipa1l2,blue
sipa1l3,blue
sirt1,turquoise
sirt2,blue
sirt3,turquoise
sirt4,turquoise
sirt5,grey
sirt6,turquoise
sirt7,turquoise
siva1,turquoise
six2a,turquoise
six5,blue
six6b,brown
ska1,green
ska2,blue
ska3,turquoise
skap1,turquoise
skap2,turquoise
skia,blue
skib,blue
skic3,turquoise
skic8,green
skida1,turquoise
skila,turquoise
skiv2l,turquoise
skor1b,brown
skor2,yellow
skp1,turquoise
skp2,turquoise
sla1a,blue
sla2b,blue
slain1a,brown
slain2,turquoise
slbp,blue
slbp2,turquoise
slc10a3,brown
slc10a7,turquoise
slc11a2_ChrAur1,turquoise
slc11a2_ChrAur2,grey
slc12a1,turquoise
slc12a2,turquoise
slc12a2l,grey
slc12a3,grey
slc12a4,blue
slc12a5a,yellow
slc12a7b_ChrAur1,turquoise
slc12a7b_ChrAur2,grey
slc12a8,turquoise
slc12a9,blue
slc13a1,brown
slc13a2_ChrAur2,blue
slc14a2,turquoise
slc15a1b,turquoise
slc15a2,turquoise
slc15a4,grey
slc16a10,turquoise
slc16a12b_ChrAur2,turquoise
slc16a13,grey
slc16a1a,grey
slc16a2,turquoise
slc16a4,brown
slc16a5a_ChrAur1,blue
slc16a6a,turquoise
slc16a6b,blue
slc16a9a,blue
slc17a5,turquoise
slc17a9b,turquoise
slc18a3b,blue
slc18b1,blue
slc19a1,brown
slc19a2,green
slc1a3a,blue
slc1a3b,yellow
slc1a4,blue
slc1a7b,grey
slc1a9,blue
slc20a1a,blue
slc20a1b,grey
slc20a2,turquoise
slc22a13a_ChrAur2,turquoise
slc22a15,red
slc22a17,turquoise
slc22a18,turquoise
slc22a2_ChrAur1,yellow
slc22a23,turquoise
slc22a31,turquoise
slc22a4_ChrAur2,turquoise
slc22a4_ChrAur3,brown
slc23a1,grey
slc23a2,grey
slc23a4_ChrAur1,grey
slc23a4_ChrAur2,brown
slc24a1_ChrAur2,brown
slc24a1_ChrAur3,turquoise
slc24a4b,turquoise
slc24a5,grey
slc24a6a,brown
slc25a10b,turquoise
slc25a11,yellow
slc25a12,brown
slc25a14_ChrAur1,blue
slc25a14_ChrAur2,turquoise
slc25a15a,blue
slc25a15b,turquoise
slc25a16,grey
slc25a17,turquoise
slc25a17l,yellow
slc25a18,blue
slc25a19,blue
slc25a1a,brown
slc25a1b_ChrAur1,turquoise
slc25a1b_ChrAur2,turquoise
slc25a20,turquoise
slc25a21,grey
slc25a22a,blue
slc25a23a,blue
slc25a24_ChrAur1,blue
slc25a24_ChrAur2,turquoise
slc25a24l,brown
slc25a25a,turquoise
slc25a25b,turquoise
slc25a26,green
slc25a28,brown
slc25a29_ChrAur1,grey
slc25a29_ChrAur2,turquoise
slc25a32b,turquoise
slc25a33,turquoise
slc25a34,turquoise
slc25a35,turquoise
slc25a36a_ChrAur1,blue
slc25a36a_ChrAur2,turquoise
slc25a37,yellow
slc25a38a,blue
slc25a38b,turquoise
slc25a39,turquoise
slc25a3b,turquoise
slc25a40,turquoise
slc25a42,turquoise
slc25a43,brown
slc25a44a,turquoise
slc25a44b,turquoise
slc25a45,turquoise
slc25a46,turquoise
slc25a47a,turquoise
slc25a48,blue
slc25a5_ChrAur1,blue
slc25a5_ChrAur2,turquoise
slc25a51b,grey
slc25a55a,blue
slc25a55b,turquoise
slc26a10,blue
slc26a11,brown
slc26a2,turquoise
slc26a3.1,blue
slc26a5,turquoise
slc26a6l1,brown
slc27a1a_ChrAur1,grey
slc27a1a_ChrAur2,grey
slc27a4,turquoise
slc27a6,turquoise
slc28a1,blue
slc29a1a,brown
slc29a1b,blue
slc29a3,turquoise
slc29a4,blue
slc2a10,turquoise
slc2a11a_ChrAur1,brown
slc2a11a_ChrAur2,turquoise
slc2a11b,turquoise
slc2a12,turquoise
slc2a13b,grey
slc2a15a_ChrAur2,brown
slc2a1b,grey
slc2a3a,brown
slc2a4rg,blue
slc2a6,blue
slc2a8,turquoise
slc30a1a,blue
slc30a4,grey
slc30a5,turquoise
slc30a6,turquoise
slc30a7,turquoise
slc30a8,turquoise
slc30a9,turquoise
slc31a1,blue
slc31a2,blue
slc32a1_ChrAur2,turquoise
slc33a1,turquoise
slc34a2b,turquoise
slc35a1,yellow
slc35a2,grey
slc35a3a_ChrAur1,blue
slc35a3a_ChrAur2,turquoise
slc35a4,turquoise
slc35a5,grey
slc35b1,blue
slc35b2,turquoise
slc35b3,grey
slc35b4,grey
slc35c1,turquoise
slc35c2,turquoise
slc35d1a_ChrAur1,blue
slc35d1a_ChrAur2,turquoise
slc35d2,blue
slc35d3,brown
slc35e1,brown
slc35e3,grey
slc35e4,grey
slc35f1,turquoise
slc35f2,turquoise
slc35f3b,turquoise
slc35f4,brown
slc35f6,turquoise
slc35g1,blue
slc37a1,yellow
slc37a2,turquoise
slc37a3,blue
slc37a4a,turquoise
slc37a4b,turquoise
slc38a10,blue
slc38a11,brown
slc38a2,blue
slc38a5b_ChrAur1,blue
slc38a5b_ChrAur2,blue
slc38a6,blue
slc38a7,blue
slc38a8a,turquoise
slc38a9,grey
slc39a1,turquoise
slc39a10,grey
slc39a11,turquoise
slc39a13,blue
slc39a14,turquoise
slc39a6,turquoise
slc39a7,turquoise
slc39a8,turquoise
slc39a9,turquoise
slc3a1,brown
slc3a2a_ChrAur1,turquoise
slc3a2a_ChrAur2,grey
slc3a2b,turquoise
slc40a1_ChrAur1,grey
slc41a2b,blue
slc43a1a,blue
slc43a1b,turquoise
slc43a2b,grey
slc43a3a,turquoise
slc43a3b,blue
slc44a1a,blue
slc44a1b,turquoise
slc44a2_ChrAur1,blue
slc44a2_ChrAur2,blue
slc44a4,turquoise
slc44a5b,turquoise
slc45a1,brown
slc45a2,turquoise
slc45a4b_ChrAur1,turquoise
slc45a4b_ChrAur2,blue
slc46a1,turquoise
slc47a2.1_ChrAur2,turquoise
slc48a1b_ChrAur1,turquoise
slc48a1b_ChrAur2,turquoise
slc49a3,blue
slc49a4,turquoise
slc4a10b_ChrAur1,brown
slc4a10b_ChrAur2,brown
slc4a11_ChrAur1,grey
slc4a11_ChrAur2,blue
slc4a1a,blue
slc4a1ap,turquoise
slc4a2b,turquoise
slc4a3,brown
slc4a5b,brown
slc4a7_ChrAur1,brown
slc4a7_ChrAur2,grey
slc50a1,turquoise
slc51a,turquoise
slc52a2,turquoise
slc52a3,grey
slc52a3-2b_ChrAur1,turquoise
slc5a10,brown
slc5a11,blue
slc5a3b,blue
slc5a6a,grey
slc5a6b,turquoise
slc5a8_ChrAur1,turquoise
slc5a8_ChrAur2,grey
slc5a8l,turquoise
slc5a9,green
slc66a1,turquoise
slc66a2,turquoise
slc66a3,blue
slc6a14_ChrAur1,grey
slc6a15,turquoise
slc6a16a,turquoise
slc6a17_ChrAur2,turquoise
slc6a1a,turquoise
slc6a1l,turquoise
slc6a2,turquoise
slc6a22.1,blue
slc6a22.2,brown
slc6a3,brown
slc6a4a,blue
slc6a5,brown
slc6a6b_ChrAur1,turquoise
slc6a6b_ChrAur2,blue
slc6a7,grey
slc6a8,grey
slc6a9,turquoise
slc7a10a,red
slc7a10b,turquoise
slc7a14a,grey
slc7a1a,grey
slc7a1b,blue
slc7a2,turquoise
slc7a3a,blue
slc7a4,brown
slc7a5,turquoise
slc7a6,turquoise
slc7a6os,turquoise
slc7a7,turquoise
slc7a8a_ChrAur1,blue
slc7a8a_ChrAur2,turquoise
slc7a9,blue
slc8a1b,turquoise
slc8a2a,brown
slc8a3,grey
slc8a4b,turquoise
slc8b1,blue
slc9a1a,yellow
slc9a1b,turquoise
slc9a2_ChrAur1,turquoise
slc9a2_ChrAur2,turquoise
slc9a3.1,brown
slc9a5,turquoise
slc9a6a,blue
slc9a6b,blue
slc9a7,blue
slc9a8_ChrAur1,green
slc9a8_ChrAur2,grey
slco1c1_ChrAur1,blue
slco1c1_ChrAur2,turquoise
slco1e1,turquoise
slco2a1,turquoise
slco2b1,turquoise
slco3a1a,blue
slco5a1a,turquoise
slf1,blue
slf2,blue
slirp,turquoise
slit1a,blue
slit1b,brown
slit2,blue
slit3,blue
slitrk4,blue
slkb_ChrAur1,turquoise
slkb_ChrAur2,turquoise
slkb_ChrAur3,blue
slmapa,yellow
slmapb,turquoise
sltm,grey
slu7,turquoise
slx1b,turquoise
slx4,turquoise
slx4ip,turquoise
smad1,blue
smad10a_ChrAur1,blue
smad10a_ChrAur2,grey
smad2_ChrAur1,turquoise
smad2_ChrAur2,grey
smad3a_ChrAur1,turquoise
smad3a_ChrAur2,turquoise
smad4b_ChrAur1,black
smad4b_ChrAur2,turquoise
smad5,turquoise
smad6b,blue
smad7,brown
smad9,grey
smap1,blue
smap2,blue
smarca2,blue
smarca4a,blue
smarca5,blue
smarcad1a,turquoise
smarcal1,turquoise
smarcb1a,turquoise
smarcc1a,yellow
smarcc1b,turquoise
smarcc2,turquoise
smarcd1,blue
smarcd2,blue
smarcd3b,turquoise
smarce1,turquoise
smc1al,brown
smc1b,brown
smc2,turquoise
smc3,turquoise
smc4,turquoise
smc5,blue
smc6,blue
smchd1,turquoise
smcr8a,turquoise
smdt1b_ChrAur1,yellow
smek1,blue
smg1,blue
smg5,grey
smg6,green
smg7,blue
smg8,turquoise
smg9,blue
smim10l3,turquoise
smim12,turquoise
smim14,turquoise
smim15,blue
smim19,turquoise
smim20,turquoise
smim5,turquoise
smim8,green
smn1,turquoise
smndc1,turquoise
smo,blue
smoc1,yellow
smoc2,blue
smox,blue
smpd1,turquoise
smpd2b,green
smpd4,turquoise
smpd5,blue
smpdl3a,turquoise
smpdl3b,turquoise
sms,turquoise
smtna,blue
smtnb,brown
smtnl_ChrAur1,turquoise
smu1a,turquoise
smug1,turquoise
smurf1,turquoise
smurf2_ChrAur1,blue
smurf2_ChrAur2,turquoise
smx5,grey
smyd1b,brown
smyd2a,turquoise
smyd3,turquoise
smyd4,turquoise
smyd5,turquoise
smyhc3,blue
snai1a,green
snai1b_ChrAur1,blue
snai1b_ChrAur2,turquoise
snai2,blue
snai3,turquoise
snap23.1,turquoise
snap25b,turquoise
snap29,grey
snap47,blue
snap91b_ChrAur2,brown
snapc1a,turquoise
snapc1b,turquoise
snapc2,turquoise
snapc3,turquoise
snapc4,grey
snapc5,turquoise
snapin,turquoise
sncaip,turquoise
sncb,turquoise
sncga,blue
snd1,turquoise
sned1,blue
snf8,turquoise
snip1,grey
snrka,turquoise
snrkb,blue
snrnp200,brown
snrnp25,grey
snrnp27,turquoise
snrnp35,turquoise
snrnp40,green
snrnp48,green
snrnp70,blue
snrpa,turquoise
snrpa1,green
snrpb2,turquoise
snrpc,turquoise
snrpd1,turquoise
snrpd2,green
snrpd3,turquoise
snrpe,turquoise
snrpf,turquoise
snrpg,turquoise
sntb1,grey
sntb2,blue
snu13b,turquoise
snupn,turquoise
snw1,blue
snx10a,turquoise
snx11,turquoise
snx12,blue
snx13,blue
snx14_ChrAur1,grey
snx14_ChrAur2,yellow
snx15,grey
snx16,turquoise
snx17,blue
snx18a,grey
snx19a,red
snx2,blue
snx21,blue
snx22,turquoise
snx24,brown
snx25,turquoise
snx27a,turquoise
snx27b,turquoise
snx29,grey
snx3,turquoise
snx30,turquoise
snx33,blue
snx4_ChrAur1,turquoise
snx4_ChrAur2,blue
snx5,brown
snx6,brown
snx7,turquoise
snx8a,turquoise
snx9a_ChrAur1,blue
snx9a_ChrAur2,blue
soat1,blue
soat2,turquoise
sobpa,blue
sobpb,turquoise
socs1a,blue
socs1b,blue
socs2,turquoise
socs3b_ChrAur1,blue
socs3b_ChrAur2,blue
socs5b,grey
socs6,blue
socs7_ChrAur2,turquoise
socs9,turquoise
sod1,turquoise
sod2,turquoise
sod3b,blue
soga1,blue
soga3a,grey
sona,turquoise
sorbs1,blue
sorbs2a,grey
sorbs3,blue
sorcs2,turquoise
sorcs3a,turquoise
sorcs3b,grey
sord,green
sorl1,blue
sort1a,blue
sos2,blue
sostdc1a,turquoise
sostdc1b,turquoise
soul2,grey
soul3,turquoise
soul4,turquoise
soul5l,grey
sowahab,turquoise
sox10_ChrAur2,blue
sox11a,grey
sox17,blue
sox18,blue
sox19b,turquoise
sox1a_ChrAur2,blue
sox3,turquoise
sox4a,blue
sox4b,grey
sox5,turquoise
sox6_ChrAur1,turquoise
sox6_ChrAur2,grey
sox7,blue
sox9a_ChrAur1,blue
sox9a_ChrAur2,blue
sp1,turquoise
sp100.1_ChrAur1,blue
sp100.1_ChrAur2,blue
sp2,brown
sp3a,grey
sp3b,turquoise
sp4,turquoise
sp5a,turquoise
sp8b,grey
spa17,grey
spaca4l,turquoise
spaca6,red
spag16,brown
spag17,brown
spag1a,blue
spag1b,grey
spag6,brown
spag7,turquoise
spag8,brown
spag9a_ChrAur1,turquoise
spag9a_ChrAur2,turquoise
spag9b,turquoise
sparc,blue
sparcl1,turquoise
sparta_ChrAur1,green
sparta_ChrAur2,turquoise
spast_ChrAur1,turquoise
spast_ChrAur2,turquoise
spata13,turquoise
spata17,blue
spata18,red
spata2,grey
spata20,turquoise
spata22,brown
spata2l,turquoise
spata4,brown
spata6,turquoise
spata6l,brown
spata7,turquoise
spats1,brown
spats2,turquoise
spc24,turquoise
spc25,turquoise
spcs1,turquoise
spcs2,turquoise
spcs3,black
spdl1,turquoise
spdya,turquoise
specc1,turquoise
specc1la,yellow
spef1,red
spef2_ChrAur1,brown
spega_ChrAur1,blue
spega_ChrAur2,turquoise
spegb,turquoise
spen,turquoise
spg11,brown
spg21,blue
spg7,turquoise
sphk2,turquoise
spi1a,blue
spi1b,blue
spic,turquoise
spice1,turquoise
spidr,turquoise
spin1_ChrAur1,green
spin1_ChrAur2,blue
spint1a,turquoise
spint2,turquoise
spire1a,turquoise
spire1b,turquoise
spire2,brown
spmap2,brown
spmap2l,grey
spns1,turquoise
spns2,blue
spns3,turquoise
spo11,brown
spock1,turquoise
spock2_ChrAur1,turquoise
spock3,blue
spon1a_ChrAur1,blue
spon1a_ChrAur2,turquoise
spon2b,blue
spop_ChrAur1,turquoise
spop_ChrAur2,turquoise
spopla,turquoise
spout1,turquoise
sppl2,turquoise
sppl3,turquoise
sprb,grey
spred1,blue
spred2a,grey
spred2b,grey
spred3,turquoise
spring1,turquoise
sprtn,turquoise
spry1,blue
spry2,turquoise
spry4,blue
spryd3_ChrAur1,turquoise
spryd3_ChrAur2,turquoise
spryd4,grey
spryd7b,blue
spsb1,turquoise
spsb3a,blue
spsb4a,blue
sptan1,brown
sptb,blue
sptbn1_ChrAur1,turquoise
sptbn1_ChrAur2,blue
sptbn2,yellow
sptbn4a,brown
sptlc1,turquoise
sptlc2a,turquoise
sptlc2b,blue
sptlc3,grey
sptssa,turquoise
sptssb,turquoise
spty2d1,turquoise
sqlea,grey
sqor_ChrAur1,blue
sqor_ChrAur2,turquoise
sqstm1,blue
sra1,turquoise
srbd1,black
src_ChrAur1,brown
src_ChrAur2,turquoise
srcap,turquoise
srcin1a,yellow
srd5a1,turquoise
srd5a3,blue
srebf1,blue
srebf2,turquoise
srek1,blue
srek1ip1,turquoise
srfa_ChrAur1,turquoise
srfa_ChrAur2,blue
srfb,turquoise
srfbp1_ChrAur1,turquoise
srfbp1_ChrAur2,turquoise
srgap1a,blue
srgap2,turquoise
srgap3_ChrAur1,turquoise
srgap3_ChrAur2,blue
srgn,blue
sri,yellow
srm,turquoise
srms,turquoise
srp14,turquoise
srp19,turquoise
srp54,brown
srp68,turquoise
srp72,turquoise
srp9,turquoise
srpk1a,turquoise
srpk1b,turquoise
srpk2,turquoise
srpk3,blue
srpra,blue
srprb,grey
srpx,blue
srpx2,turquoise
srr,turquoise
srrd,turquoise
srrm1,blue
srrm2,turquoise
srrm3,brown
srrt,yellow
srsf10a,turquoise
srsf11_ChrAur1,yellow
srsf11_ChrAur2,turquoise
srsf1b_ChrAur1,turquoise
srsf1b_ChrAur2,turquoise
srsf1b_ChrAur3,turquoise
srsf2a_ChrAur1,turquoise
srsf2a_ChrAur2,turquoise
srsf3a_ChrAur1,turquoise
srsf3a_ChrAur2,turquoise
srsf4,blue
srsf5a,turquoise
srsf5b,yellow
srsf6b,grey
srsf7a,blue
srsf9,turquoise
srxn1,turquoise
ss18,turquoise
ss18l2,turquoise
ssb,turquoise
ssbp1,turquoise
ssbp2b,turquoise
ssbp3b,turquoise
ssbp4_ChrAur1,turquoise
ssbp4_ChrAur2,turquoise
ssh1a,turquoise
ssh2a,turquoise
ssh2b,grey
ssna1,turquoise
sspn,blue
ssr1,turquoise
ssr2,turquoise
ssr3,blue
ssr4,brown
ssrp1a,turquoise
sst1.2,green
sstr3,turquoise
ssu72,turquoise
ssuh2.1,turquoise
ssx2ipa,turquoise
st13,turquoise
st14,turquoise
st14a,turquoise
st18,brown
st3gal1l3,blue
st3gal2,blue
st3gal3b,turquoise
st3gal4,blue
st3gal5,blue
st3gal8,brown
st6gal2a,brown
st6galnac,blue
st6galnac2,blue
st6galnac4,blue
st6galnac5a,grey
st6galnac6,turquoise
st7l,yellow
st8sia1,turquoise
st8sia2,brown
st8sia5,blue
st8sia6,turquoise
stab1,turquoise
stab2,turquoise
stac,blue
stag1a,blue
stag2b_ChrAur1,blue
stag2b_ChrAur2,turquoise
stam,blue
stam2,blue
stambpl1,grey
stap2a,turquoise
star,turquoise
star2,grey
stard10,turquoise
stard13a,blue
stard13b,turquoise
stard14,turquoise
stard3,brown
stard3nl,turquoise
stard7,black
stard9,turquoise
stat1a,blue
stat1b,blue
stat2,blue
stat3,blue
stat4,blue
stat5a,blue
stat6,blue
stau1,blue
stau2,turquoise
stbd1,brown
stc2a,turquoise
steap3,yellow
steap4_ChrAur1,blue
steep1,grey
stim1a,turquoise
stim1b,turquoise
stim2b,blue
stimate,turquoise
sting1,blue
stip1,turquoise
stk10,brown
stk11,blue
stk11ip,grey
stk16,turquoise
stk17a,turquoise
stk17al,blue
stk17b,turquoise
stk19,turquoise
stk24b_ChrAur1,blue
stk24b_ChrAur2,yellow
stk25b,turquoise
stk26,turquoise
stk3,blue
stk32a,blue
stk33,brown
stk35,turquoise
stk35l,turquoise
stk36,turquoise
stk38a,turquoise
stk38l,blue
stk39,turquoise
stk40,turquoise
stmn1a,turquoise
stn1,turquoise
stom,turquoise
stoml1,turquoise
stoml2,turquoise
stoml3b,blue
ston1,turquoise
stox1,turquoise
stox2a_ChrAur1,blue
stox2a_ChrAur2,turquoise
stpg1,red
stpg2,turquoise
stra6,turquoise
stra6l,grey
strada,grey
stradb,turquoise
strap,turquoise
strbp,blue
strc1,yellow
strip1,turquoise
strip2,brown
strn_ChrAur1,turquoise
strn_ChrAur2,grey
strn3,grey
strn4,grey
sts,blue
stt3a,turquoise
stt3b_ChrAur1,yellow
stt3b_ChrAur2,blue
stub1_ChrAur1,turquoise
stub1_ChrAur2,grey
stx10,blue
stx11b.1,turquoise
stx12_ChrAur1,grey
stx12l,blue
stx16,brown
stx17_ChrAur1,blue
stx17_ChrAur2,turquoise
stx18,grey
stx19,turquoise
stx2b,blue
stx3a_ChrAur2,grey
stx4,green
stx5a,turquoise
stx6,turquoise
stx7l,yellow
stx8,turquoise
stxbp1b,turquoise
stxbp2,green
stxbp3,blue
stxbp4,turquoise
stxbp5a,turquoise
stxbp5b,blue
stxbp5l,turquoise
stxbp6,turquoise
stxbp6l,turquoise
styx,turquoise
styxl1,red
sub1a,grey
suclg1,turquoise
suclg2,grey
suco_ChrAur1,turquoise
suco_ChrAur2,turquoise
suds3,blue
sufu,blue
sugp1,brown
sugt1,turquoise
sulf1,turquoise
sulf2a,blue
sult1st3_ChrAur1,blue
sult1st6,turquoise
sult2st3,turquoise
sult4a1_ChrAur2,grey
sumf1,grey
sumf2,blue
sumo1,turquoise
sumo2a,turquoise
sumo2b_ChrAur1,turquoise
sumo2b_ChrAur2,turquoise
sumo3b_ChrAur1,turquoise
sumo3b_ChrAur2,turquoise
sun2,turquoise
suox,turquoise
supt16h,turquoise
supt20,turquoise
supt3h,green
supt4h1,turquoise
supt5h,turquoise
supt6h,grey
supt7l,turquoise
supv3l1,turquoise
surf1,turquoise
surf2,blue
surf4,brown
surf4l,grey
surf6,turquoise
susd2,turquoise
susd5,blue
susd6,blue
suv39h1b,brown
suz12b,turquoise
sv2,turquoise
sv2a,grey
sv2bb,grey
sv2ca_ChrAur2,turquoise
svbp,turquoise
svep1,blue
svila,brown
svilb,blue
svilc,turquoise
svild,blue
svip,turquoise
svopa,brown
svopl,turquoise
swap70b_ChrAur1,turquoise
swap70b_ChrAur2,blue
swi5,turquoise
swsap1,turquoise
swt1,blue
sxph,turquoise
syap1,turquoise
sybl1,turquoise
sybu,turquoise
syce2,brown
sycp1,brown
sycp2,brown
sycp2l,turquoise
sycp3,grey
syde2,blue
syf2,turquoise
syk,blue
sympk,turquoise
syn2a,blue
sync_ChrAur2,blue
syncrip,turquoise
syncripl,turquoise
syne1a,blue
syne1b,blue
syne2a,turquoise
syne2b,yellow
syne3,brown
syngap1a,blue
syngap1b,turquoise
syngr2a,blue
syngr2b,blue
synj1,turquoise
synj2bp,turquoise
synm,turquoise
synpo,blue
synpo2lb,grey
synrg,turquoise
sypl1,blue
sypl2a,turquoise
sypl2b,turquoise
sys1,turquoise
syt10,grey
syt11a,blue
syt14a,brown
syt16,turquoise
syt1a,blue
syt2a_ChrAur2,grey
syt4,green
syt9a,grey
syt9b,turquoise
sytl1,turquoise
sytl2a,turquoise
sytl2b,blue
sytl3,turquoise
sytl4,turquoise
sytl5,turquoise
syvn1,turquoise
szl,grey
szrd1,blue
szt2,turquoise
tab1,blue
tab2,blue
tab3,turquoise
tacc1,blue
tacc2_ChrAur2,turquoise
tacc3,turquoise
taco1,green
tada1,turquoise
tada2a,turquoise
tada2b,blue
tada3l,turquoise
taf1,turquoise
taf10,turquoise
taf11,turquoise
taf12,turquoise
taf13,grey
taf15,turquoise
taf1a,turquoise
taf1b,turquoise
taf1c,blue
taf2,grey
taf3,turquoise
taf4a_ChrAur1,turquoise
taf4a_ChrAur2,blue
taf4b,turquoise
taf5,turquoise
taf5l,yellow
taf6,turquoise
taf6l,blue
taf7,green
taf8,turquoise
taf9,turquoise
tafa4b,turquoise
tafazzin,blue
tagapb,blue
tagln,blue
tagln2,blue
tagln3b,turquoise
tal1,turquoise
taldo1,turquoise
tamalin,turquoise
tamm41,blue
tanc1b,turquoise
tanc2a,blue
tanc2b,blue
tango2,grey
tango6,turquoise
tank,blue
taok1a,turquoise
taok1b_ChrAur1,turquoise
taok1b_ChrAur2,blue
taok2a,blue
taok3a,blue
tap1,turquoise
tap2a,blue
tap2t,blue
tapbp.1,blue
tapbpl,blue
tapt1a,blue
tapt1b,turquoise
tarbp1,turquoise
tarbp2,turquoise
tardbpa_ChrAur1,turquoise
tardbpa_ChrAur2,brown
tars1,grey
tars2,grey
tars3,turquoise
tasor2,blue
tasora,blue
tasorb,grey
tasp1,blue
tatdn1,turquoise
tatdn2_ChrAur1,turquoise
tatdn2_ChrAur2,turquoise
tax1bp1a,turquoise
tax1bp1b,blue
tax1bp3,turquoise
tbata,grey
tbc1d10ab,blue
tbc1d10c,blue
tbc1d12b,blue
tbc1d13,turquoise
tbc1d14,turquoise
tbc1d15,brown
tbc1d16,yellow
tbc1d17,yellow
tbc1d19,turquoise
tbc1d2,turquoise
tbc1d20,grey
tbc1d22a,grey
tbc1d22b,turquoise
tbc1d23,blue
tbc1d24,turquoise
tbc1d25,blue
tbc1d2b,turquoise
tbc1d30,turquoise
tbc1d31,turquoise
tbc1d32,brown
tbc1d4,blue
tbc1d5,turquoise
tbc1d7,grey
tbc1d8,brown
tbc1d8b,turquoise
tbc1d9,brown
tbca,turquoise
tbcb,grey
tbcc,turquoise
tbccd1,turquoise
tbcd,turquoise
tbce,grey
tbcelb,brown
tbck,turquoise
tbk1,turquoise
tbkbp1,brown
tbl1x,grey
tbl1xr1a_ChrAur1,turquoise
tbl1xr1a_ChrAur2,brown
tbl2,turquoise
tbl3,turquoise
tbp,turquoise
tbpl1,blue
tbpl2,turquoise
tbrg1,blue
tbrg4,turquoise
tbx1,turquoise
tbx15,grey
tbx16,brown
tbx20,grey
tbx22,brown
tbx2b,blue
tbxa2r,turquoise
tbxas1,turquoise
tbxtb,brown
tcaim,turquoise
tcea1,turquoise
tcea2,turquoise
tcea3,turquoise
tceanc,turquoise
tceanc2,turquoise
tcerg1b,turquoise
tcf12,turquoise
tcf19l,turquoise
